Questions,Answers,Tags
Who Develop you ?,"aTeam of Assuit FCI developed me : - ), With Supervised of Prof.Khaled Fathi. ",q
Who are you ?,"I am  Black Beauty Chatbot  Developed by aTeam of Assuit FCI  : - ) , With Supervised of Prof.Khaled Fathi. ",c
Are You Human?,"No, Iam Black Beauty ChatBot Team of Assuit FCI developed me To Help Third Propetry Students and make Artificial narraotor to BlackBeauty Story That try To Answer Your Questions  : - ), With Supervised of Prof.Khaled Fathi and Team Leader Bakli. ",w
Who is Black Beauty?,Black Beauty is the narroator of the Story Which I Developed For :- ),e
Who is Anna Sewell ?,"Anna Sewell is the writer of the BlackBeauty story ,she was born in England 1820",r
What happened  to anna sewell when she was child ?,"she had abad accident which badly damaged her legs, After this accident she can’t walk ",t
Why Anna write black beauty story ?,"Because she wanted people to understand that looking after horses was important , she write abook about allife of a working hourse which is black beauty . ",y
Who is farmer grey ?,He is Black Beauty’s first owner.,u
Who is Squire Gordon ?,The first owner who Black Beauty works for .,I
Who is Mrs Gordon ?,"She is Squire Gordon’s wife ,The first owner who Black Beauty works for .",o
Who is John ?,A kind man who is Squire Gordon’s helper . ,p
Who is Joe Green ?,A boy who helps john . ,a
Who is Earl Smythe ? ,A rich who buy Black Beauty from Squire Gordon,s
Who is Lady Smythe?,Earl Smeth’s wife .,d
Who is York ?,Earl Smeth’s helper .,f
Who is Merrylegs ?,"A short, fat horse who carries the childern at Squire Gordon’s.",g
what is Birwick Park ?,The country home of Squire Gordon .,j
What is Earlshall Park ? ,The country home of Earl Smythe .,k
What is the first place that Black Beauty ?,The first place Black Beauty lives in is a large field with alittle wood at the top where lived with his mother and some other horses .,l
With who Black Beauty Live at his first place ?,With his mother and some other horses .,z
What Black Beauty see if he stood at the to the field ?,he can see the Owner’s house .,x
Where and When was Anaa Sewell born?,She was born in England in 1820,v
What happened when she was a child?,She had an accident which badly damaged her legs. She could not walk.,b
What did Anna learn when she could not walk?,She learned to drive a horse and carriage.,n
Why did Anna love horses?,Because horses helped her to travel around.,m
How did Anna start to write books?,"She helped her mother, who wrote children's books.",qq
Why did Anna decide to write ?,Because she wanted people to understand that looking after horses was important,ww
"What did Anna Sewell write? What was ""Black Beauty"" story?", A book about the life of a working horse.,ee
"When did Anna write ""Black Beauty""?",in 1877.,rr
Who is the author of the story?,Anna Sewell.,tt
